"Sample","x","Location","Region","x1","Date","Li","Be","B","Al...10","Sc","Ti","V","Cr","Mn...15","Co","Ni","Ga","Ge","As","Se","Rb","Y","Zr","Nb","Mo","Cd","In","Sn","Sb","Te","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Hg","Pb","Bi","Th","U","Na","Mg","Al...58","P","S","K","Ca","Mn...63","Fe","Zn","Cu","Sr"
"M61","09TSW020-014","Fonterra Darnum 14","E-VIC","FMCP",2009-03-14,0.02,0.0095,0.463,"1.05",0.036,3.45,0.274,0.091,0.415,0.016,0.206,0.017,0.0345,0.071,0.3365,18.4,0,0.005,0.003,0.22,0.002,0.003,0.0805,0.002,0.006,0.075,0.944,0.001,0.001,0.001,0.002,0,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,5e-04,0.001,0.008,0.009,0.283,0.0015,0.0015,5e-04,3060,837,6.16,6831,2079,9448,8770,0.342,2.43,30.4,0.149,4.83
"M62","09TSW020-014","Fonterra Darnum 14","E-VIC","FMCP",2009-03-14,0.02,0.0095,0.463,"0.36799999999999999",0.036,3.15,0.274,0.185,0.394,0.015,0.178,0.014,0.0345,0.071,0.3365,17.7,0,0.005,0.003,0.216,0.002,0.003,0.0805,0.002,0.006,0.07,0.887,5e-04,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,5e-04,0.001,0.008,0.009,0.041,0.0015,0.0015,5e-04,3052,833,5.1,6596,2024,9402,8742,0.441,2.34,30.3,0.181,4.83
"M63","09TSW020-014","Fonterra Darnum 14","E-VIC","FMCP",2009-03-14,0.02,0.0095,0.463,"0.22700000000000001",0.036,2.82,0.274,0.091,0.34,0.014,0.157,0.012,0.0345,0.071,0.3365,16.3,0,0.005,0.007,0.194,0.002,0.003,0.0805,0.002,0.006,0.063,0.785,5e-04,0.001,0,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,5e-04,0.001,0.008,0.009,0.015,0.0015,0.0015,5e-04,2971,824,4.09,6341,1979,9171,8507,0.404,2.17,29.6,0.318,4.79
"M65","09TSW020-016","Fonterra Cobden","W-VIC","Stork FCM 26% BZ",2009-01-12,0.02,0.0095,0.463,"0.52600000000000002",0.036,2.78,0.274,0.091,0.242,0.014,0.168,0.01,0.0345,0.071,0.3365,13.8,0,0.013,0.006,0.241,0.002,0.003,0.0805,0.002,0.006,0.05,0.623,5e-04,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.001,0.001,0.008,0.009,0.009,0.0015,0.0015,5e-04,2777,796,4.19,6478,1898,9624,8444,0.274,2.86,28.3,0.201,5.2
"M68","09TSW020-019","Fonterra Cobden","W-VIC","Stork FMC 26% BZ",2009-01-19,0.02,0.0095,0.928,"0.54400000000000004",0.036,3.18,0.274,0.24,0.273,0.016,0.203,0.013,0.0345,0.071,0.3365,18.5,0,0.011,0.009,0.266,0.002,0.003,0.0805,0.002,0.006,0.094,0.771,5e-04,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.008,0.009,0.066,0.0015,0.0015,5e-04,3038,850,4.78,6825,1948,10676,8854,0.244,2.78,28.9,0.102,5.11
"M72","09TSW020-023","Fonterra Cobden","W-VIC","Stork FCM 26%",2009-02-23,0.02,0.0095,0.463,"0.69199999999999995",0.036,2.84,0.274,0.091,0.322,0.016,0.191,0.01,0.0345,0.071,0.3365,17,0.001,0.013,0.003,0.239,0.002,0.003,0.0805,0.002,0.006,0.067,0.625,0.001,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.001,0.001,0.008,0.009,0.02,0.0015,0.0015,5e-04,3054,828,4.74,6289,1909,9244,8484,0.337,2.05,27.1,0.19,5.25
"M73","09TSW020-024","Fonterra Cobden","W-VIC","Stork FCM 26%",2009-03-01,0.02,0.0095,0.463,"0.44600000000000001",0.036,3.1,0.274,0.091,0.318,0.015,0.194,0.01,0.0345,0.071,0.3365,17.5,0,0.005,0.003,0.254,0.002,0.003,0.0805,0.002,0.006,0.08,0.648,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.008,0.009,0.019,0.0015,0.0015,5e-04,3075,834,4.28,6309,1967,9293,8669,0.356,2.36,27.6,0.275,5.15
"M74","09TSW020-024","Fonterra Cobden","W-VIC","Stork FCM 26%",2009-03-01,0.02,0.0095,0.463,"0.32300000000000001",0.036,3.04,0.274,0.091,0.301,0.016,0.204,0.01,0.0345,0.071,0.3365,17.2,0,0.005,0.003,0.253,0.002,0.003,0.0805,0.002,0.006,0.081,0.642,5e-04,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.008,0.009,0.01,0.0015,0.0015,5e-04,3048,822,4.81,6048,1901,9235,8693,0.347,1.92,27.2,0.249,5.14
"M75","09TSW020-025","Fonterra Cobden","W-VIC","Stork FCM 26%",2009-03-10,0.02,0.0095,0.463,"0.622",0.036,3.12,0.274,0.091,0.309,0.016,0.187,0.011,0.0345,0.071,0.3365,15.6,0,0.005,0.003,0.264,0.002,0.003,0.0805,0.002,0.006,0.06,0.643,5e-04,0.001,0,0.002,0.001,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.001,0.001,0.008,0.009,0.014,0.011,0.0015,5e-04,3089,844,4.87,6339,2002,9035,8746,0.302,1.74,28.4,0.19,4.62
"M76","09TSW020-026","Fonterra Cobden","W-VIC","Stork IFCM 26%",2009-03-15,0.02,0.0095,0.463,"0.39300000000000002",0.036,3.19,0.274,0.091,0.304,0.016,0.192,0.011,0.0345,0.071,0.3365,16.1,0,0.005,0.007,0.278,0.002,0.003,0.0805,0.002,0.006,0.072,0.642,5e-04,0.001,0,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.008,0.009,0.051,0.007,0.0015,5e-04,3093,831,4.66,6402,1990,9003,8741,0.3,1.69,29.3,0.094,5.17
"M78","09TSW020-028","Fonterra Cobden","W-VIC","Stork FCM 26% BZ",2009-04-03,0.02,0.0095,0.463,"0.32600000000000001",0.036,2.98,0.274,0.465,0.375,0.015,0.202,0.013,0.0345,0.071,0.3365,15.2,0,0.005,0.003,0.238,0.002,0.003,0.0805,0.002,0.006,0.064,0.769,5e-04,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.008,0.009,0.009,0.005,0.0015,5e-04,3157,840,3.8,6435,1982,9235,8641,0.439,3.44,28.9,0.353,4.84
"M80","09TSW020-030","Fonterra Cobden","W-VIC","Stork SMP Med heat",2009-04-13,0.02,0.0095,0.463,"0.435",0.036,2.98,0.274,0.091,0.33,0.018,0.225,0.012,0.0345,0.071,0.3365,17.9,0,0.005,0.003,0.225,0.002,0.003,0.0805,0.002,0.006,0.065,0.868,5e-04,0.001,0,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.008,0.009,0.006,0.01,0.0015,5e-04,4293,1153,4.76,8227,2586,12615,11771,0.414,2.47,38.3,0.298,6.85
"M81","09TSW020-031","Fonterra Cobden","W-VIC","Stork SMP Med heat",2009-04-20,0.02,0.0095,0.463,"<LOQ",0.036,3.29,0.274,0.091,0.373,0.019,0.217,0.013,0.0345,0.071,0.3365,19,0,0.005,0.003,0.215,0.002,0.003,0.0805,0.002,0.006,0.062,0.917,5e-04,0.001,0,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,5e-04,0.001,0.008,0.009,0.013,0.01,0.0015,5e-04,4422,1172,4.44,8242,2674,12760,12075,0.459,2.02,39.4,0.43,6.64
"M82","09TSW020-032","Fonterra Cobden","W-VIC","Stork SMP Med heat",2009-04-22,0.02,0.0095,0.463,"0.29999999999999999",0.036,3.02,0.274,0.091,0.375,0.018,0.245,0.013,0.0345,0.071,0.3365,19,0,0.005,0.003,0.22,0.002,0.003,0.0805,0.002,0.006,0.068,0.921,5e-04,0.001,0,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.008,0.009,0.008,0.013,0.0015,5e-04,4305,1156,5,8239,2598,12675,12109,0.442,2.35,38.4,0.219,6.73
"M83","09TSW020-033","Fonterra Cobden","W-VIC","Stork FCM 26% BZ",2009-04-23,0.02,0.0095,0.463,"0.878",0.036,2.68,0.274,0.195,0.294,0.015,0.211,0.011,0.0345,0.071,0.3365,14.1,0,0.005,0.003,0.231,0.002,0.003,0.0805,0.002,0.006,0.053,0.709,5e-04,0.001,0,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.008,0.009,0.008,0.013,0.0015,5e-04,3084,843,4.97,6363,1894,9120,8709,0.322,2.43,27.7,0.236,4.83
"M84","09TSW020-034","Fonterra Cobden","W-VIC","Stork SMP Med heat",2008-11-03,0.02,0.0095,0.463,"<LOQ",0.036,2.86,0.274,0.091,0.257,0.017,0.206,0.009,0.0345,0.071,0.3365,17.7,0,0.005,0.003,0.25,0.002,0.003,0.0805,0.002,0.006,0.052,0.676,5e-04,0.001,0,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.001,0.001,0.008,0.009,0.014,0.0015,0.0015,5e-04,3575,1058,3.62,8681,2560,13536,11616,0.317,1.93,38.7,0.471,6.53
"M85","09TSW020-035","Fonterra Cobden","W-VIC","Stork IFCM 28%",2008-11-07,0.02,0.0095,0.463,"4.5199999999999996",0.036,2.77,0.274,0.199,0.258,0.016,0.22,0.011,0.0345,0.071,0.3365,14.5,0,0.005,0.006,0.292,0.002,0.003,0.0805,0.002,0.006,0.047,0.668,5e-04,0.001,0.001,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.017,0.009,0.015,0.0015,0.0015,5e-04,2543,764,9.1,6816,1862,9840,8429,0.247,2.15,28.8,0.429,5.07
"M86","09TSW020-036","Fonterra Cobden","W-VIC","Stork FCM 26% BZ",2008-11-15,0.02,0.0095,0.463,"0.40699999999999997",0.036,2.77,0.274,0.091,0.247,0.016,0.21,0.012,0.0345,0.071,0.3365,17,0,0.005,0.003,0.278,0.002,0.003,0.0805,0.002,0.006,0.059,0.719,5e-04,0.001,0,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.008,0.009,0.0015,0.0015,0.0015,5e-04,2678,803,3.93,6985,1958,10092,8769,0.264,1.72,29.5,0.245,5.57
"M87","09TSW020-036","Fonterra Cobden","W-VIC","Stork FCM 26% BZ",2008-11-15,0.02,0.0095,0.463,"0.23100000000000001",0.036,2.67,0.274,0.091,0.241,0.016,0.218,0.011,0.0345,0.071,0.3365,16.6,0,0.005,0.003,0.272,0.002,0.003,0.0805,0.002,0.006,0.059,0.708,5e-04,0.001,0,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.019,0.009,0.005,0.0015,0.0015,5e-04,2670,796,5.53,6709,1881,10008,8729,0.255,1.55,28.7,0.314,5.66
"M91","09TSW020-040","Fonterra Cobden","W-VIC","Stork FCM 26% BZ",2008-11-28,0.02,0.0095,0.463,"0.39000000000000001",0.036,3.21,0.274,0.208,0.296,0.017,0.224,0.013,0.0345,0.071,0.3365,15.6,0,0.005,0.011,0.295,0.002,0.003,0.0805,0.002,0.006,0.051,0.721,5e-04,0.001,0,0.002,0.001,0,5e-04,5e-04,5e-04,5e-04,0.002,5e-04,0.001,0.001,0.003,0.003,0.008,0.009,0.096,0.005,0.0015,5e-04,2753,808,5.26,7230,2024,10403,8984,0.211,2.19,32.7,0.239,5.39
"M114","09TSW020-044","Fonterra Cobden","W-VIC","Stork FCM 26% BZ",2008-12-11,0.02,0.0095,0.463,"13.9",0.036,3.01,0.274,0.091,0.26,0.016,0.199,0.013,0.0345,0.071,0.3365,14.1,0,0.005,0.007,0.238,0.002,0.003,0.0805,0.002,0.006,0.05,0.657,5e-04,0.001,0,0.002,0,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.005,0.004,0.008,0.009,0.0015,0.0015,0.0015,5e-04,2874,846,8.66,7063,2126,10623,9059,0.282,1.8,31.3,0.181,4.9
"M115","09TSW020-045","Fonterra Cobden","W-VIC","Stork FCM 26% BZ",2008-12-15,0.02,0.0095,0.463,"<LOQ",0.036,3.12,0.274,0.091,0.274,0.016,0.211,0.011,0.0345,0.071,0.3365,15,0,0.005,0.003,0.239,0.002,0.003,0.0805,0.002,0.006,0.063,0.621,5e-04,0.001,0,0.002,0,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.004,0.003,0.008,0.009,0.016,0.007,0.0015,5e-04,3279,922,6.01,7584,2167,11933,9357,0.307,1.85,32.3,0.325,5.17
"M116","09TSW020-046","Fonterra Cobden","W-VIC","Stork FCM 26% BZ",2008-12-23,0.02,0.0095,0.463,"<LOQ",0.036,4.35,0.274,0.23,0.25,0.015,0.213,0.012,0.0345,0.071,0.3365,14.5,0,0.005,0.003,0.238,0.002,0.003,0.0805,0.002,0.006,0.055,0.606,5e-04,0.001,0,0.002,0,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.005,0.003,0.008,0.009,0.0015,0.0015,0.0015,5e-04,3164,894,5.72,7265,2115,11638,9040,0.286,2.26,30.5,0.108,4.62
"M119","09TSW020-048","Fonterra Dennington","W-VIC","WMP",NA,0.02,0.0095,0.463,"2.5499999999999998",0.036,4.11,0.274,0.091,0.399,0.023,0.349,0.008,0.0345,0.071,0.3365,11.9,0.077,0.013,0.007,0.26,0.007,0.003,0.0805,0.002,0.006,0.029,0.447,0.009,0.002,0.002,0.007,0.002,0.001,0.003,0.001,0.005,0.001,0.005,0.001,0.003,0.001,0.006,0.003,0.028,0.009,0.01,0.004,0.003,0.007,2888,835,6.16,7324,2098,10626,14909,0.528,112,66.2,0.328,17.1
"M120","09TSW020-049","Fonterra Dennington","W-VIC","WMP",NA,0.02,0.0095,0.463,"190",0.036,5.42,0.274,0.217,0.432,0.025,0.388,0.011,0.0345,0.071,0.3365,13.9,0.118,0.005,0.008,0.258,0.011,0.003,0.0805,0.002,0.006,0.035,0.562,0.019,0.003,0.002,0.01,0.003,0.001,0.005,0.001,0.008,0.001,0.006,0.001,0.003,0.001,0.003,0.004,0.11,0.009,0.068,0.005,0.0015,0.004,2996,880,9.43,7749,2305,10985,16371,0.56,116,69.7,0.291,12.7
"M121","09TSW020-050","Fonterra Dennington","W-VIC","WMP",NA,0.02,0.0095,0.463,"<LOQ",0.036,5.41,0.274,0.267,0.419,0.025,0.369,0.012,0.0345,0.071,0.3365,13.1,0.082,0.005,0.003,0.277,0.009,0.003,0.0805,0.002,0.006,0.037,0.54,0.012,0.002,0.002,0.007,0.002,0.002,0.004,0.002,0.007,0.002,0.005,0.001,0.003,0.002,0.005,0.003,0.026,0.009,1.27,0.0015,0.003,0.009,2979,860,9.79,8153,2299,11154,15604,0.495,123,81.6,0.311,16
"M122","09TSW020-050","Fonterra Dennington","W-VIC","WMP",NA,0.02,0.0095,0.463,"<LOQ",0.036,5.33,0.274,0.091,0.405,0.025,0.384,0.011,0.0345,0.071,0.3365,13,0.081,0.042,0.013,0.259,0.008,0.003,0.0805,0.002,0.006,0.037,0.516,0.01,0.003,0.002,0.008,0.003,0.001,0.004,0.001,0.006,0.001,0.005,0.001,0.003,0.001,0.021,0.005,0.038,0.009,0.007,0.0015,0.006,0.01,2950,838,7.65,7513,2111,10962,15278,0.483,118,63.8,0.488,15.9
"M135","09TSW020-062","Fonterra Dennington","W-VIC","WMP",NA,0.02,0.0095,0.463,"<LOQ",0.036,6.03,0.274,0.091,0.298,0.017,0.239,0.01,0.0345,0.071,0.3365,15.5,0.005,0.005,0.003,0.232,0.002,0.003,0.0805,0.002,0.006,0.061,0.517,5e-04,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,0.002,5e-04,0.001,5e-04,0.001,0.001,0.005,0.004,0.008,0.009,0.005,0.0015,0.004,5e-04,3171,876,7.24,6808,2085,10301,9566,0.317,4.96,29,0.268,5.39
"M136","09TSW020-063","Fonterra Dennington","W-VIC","WMP",NA,0.02,0.0095,0.463,"<LOQ",0.036,2.78,0.274,0.091,0.269,0.015,0.249,0.009,0.0345,0.071,0.3365,15.2,0,0.005,0.003,0.223,0.002,0.003,0.0805,0.002,0.006,0.057,0.527,5e-04,0.001,0,0.002,0,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.006,0.004,0.02,0.009,0.003,0.0015,0.003,5e-04,2968,828,4.82,6581,1956,9719,8645,0.282,2.81,29.1,0.196,5.12
"M137","09TSW020-063","Fonterra Dennington","W-VIC","WMP",NA,0.02,0.0095,0.463,"<LOQ",0.036,3.62,0.274,0.091,0.254,0.014,0.215,0.009,0.0345,0.071,0.3365,14.7,0,0.005,0.003,0.216,0.002,0.003,0.0805,0.002,0.006,0.055,0.501,5e-04,0.001,0,0.002,0,0,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0,0.003,0.003,0.008,0.009,0.041,0.0015,0.0015,5e-04,3041,846,4.49,6483,2015,10005,8951,0.317,2.15,29.3,0.313,5.15
